date,open,high,low,close,volume,dividends,stock splits,date,macd,macdsignal,macdhist,RSI,MOM,slowk,slowd
2024-02-15 00:00:00+08:00,31.799999237060547,31.799999237060547,31.149999618530273,31.350000381469727,61571883,0.0,0.0,2024-02-15 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-16 00:00:00+08:00,31.25,31.75,31.25,31.549999237060547,25442617,0.0,0.0,2024-02-16 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-19 00:00:00+08:00,31.600000381469727,31.799999237060547,31.350000381469727,31.5,23812455,0.0,0.0,2024-02-19 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-20 00:00:00+08:00,31.549999237060547,31.600000381469727,31.25,31.399999618530273,23902409,0.0,0.0,2024-02-20 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-21 00:00:00+08:00,31.5,31.799999237060547,31.399999618530273,31.450000762939453,23966687,0.0,0.0,2024-02-21 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-22 00:00:00+08:00,31.600000381469727,31.600000381469727,31.200000762939453,31.200000762939453,35362812,0.0,0.0,2024-02-22 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-23 00:00:00+08:00,31.200000762939453,31.25,30.799999237060547,30.799999237060547,43945326,0.0,0.0,2024-02-23 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-26 00:00:00+08:00,30.799999237060547,31.100000381469727,30.700000762939453,31.049999237060547,23162600,0.0,0.0,2024-02-26 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-27 00:00:00+08:00,31.0,31.200000762939453,30.700000762939453,30.700000762939453,28951373,0.0,0.0,2024-02-27 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,10.60602907959319,12.198913753453672
2024-02-29 00:00:00+08:00,30.700000762939453,31.450000762939453,30.700000762939453,31.450000762939453,37976031,0.0,0.0,2024-02-29 00:00:00+08:00,0.15506356259437126,0.16950194734917545,-0.01443838475480419,48.52940763982113,-0.3000011444091797,38.38381863113295,19.865292263439773
